Latitude,Cities,Temperature,Humidity,Cloudiness,Wind Speed
-41.02385544444444,"Filo-hua-hum,AR, Horowhenua District,NZ, Raumati Beach,NZ, Paraparaumu North,NZ, Ashhurst,NZ, Flowerdale,AU, Havelock North,NZ, Hunterville,NZ, Currie,AU, General Conesa,AR, Ratana,NZ, Raumati South,NZ, Paillaco,CL, Villa La Angostura,AR, Boat Harbour,AU, Otane,NZ, Palmerston North City,NZ, Sanson,NZ, Región de Los Ríos,CL, Montagu,AU",50.175,93,36,12.605
-39.66238775757576,"Strzelecki,AU, Woolamai,AU, Port Welshpool,AU, Gellibrand,AU, Cudgee,AU, Máfil,CL, Departamento de Zapala,AR, Cashmore,AU, Taranaki,NZ, Taradale,NZ, Dennington,AU, Inverloch,AU, Lartigau,AR, Pillanlelbun,CL, Monte Hermoso,AR, Hilario Ascasubi,AR, Zapala,AR, Bell Block,NZ, Stoneyford,AU, Curacautín,CL",54.0,80,10,6.62
-38.30092007070707,"Opaheke,NZ, Bentleigh,AU, Nilma North,AU, Yarra Ranges,AU, Olinda,AU, Jacinto Arauz,AR, Batán,AR, Catani,AU, Rotorua,NZ, Coleraine,AU, Villa Castelar,AR, Lovely Banks,AU, Dunkeld,AU, Purén,CL, Mulgrave,AU, Clyde North,AU, Cockatoo,AU, Nambrok,AU, Manukau City,NZ, Drysdale,AU",56.41,60,28,4.9350000000000005
-36.939452383838386,"Bethanga,AU, Nimmitabel,AU, Emu,AU, Serpentine,AU, Boxwood,AU, Thalia,AU, Violet Town,AU, Eddington,AU, Corowa,AU, Ngunguru,NZ, Yarriambiack,AU, Lucyvale,AU, Mooroopna North,AU, Mooroopna,AU, Beazleys Bridge,AU, Natimuk,AU, Undera,AU, Frances,AU, Yackandandah,AU, Tumbarumba,AU",55.935,81,16,7.57
-35.57798469696969,"Bragado,AR, Departamento de Maldonado,UY, Murrumbidgee Shire,AU, Taylors Flat,AU, Weetangerra,AU, Barmera,AU, Lyrup,AU, Colegiales,AR, Partido de Rojas,AR, Parryville,AU, Loma Verde,AR, Villa Reichembach,AR, San Francisco Solano,AR, Williamstown,AU, Foxground,AU, Gundaroo,AU, Point Turton,AU, Monte Castro,AR, Lake Heights,AU, Murrumburrah,AU",58.66,71,0,9.52
-34.216517010101015,"Juana Koslay,AR, Laborde,AR, Witchcliffe,AU, Canowindra,AU, Schofields,AU, Mouille Point,ZA, Zarate,AR, San Luis,AR, Oberon,AU, La Rana,CL, Terrigal,AU, Departamento de Colonia,UY, Fairfield,AU, Quilicura,CL, Peyrano,AR, Undalya,AU, Artarmon,AU, Clontarf,AU, Granville,AU, Villa San José,AR",58.08,77,53,12.48
-32.85504932323232,"Toledo,AR, La Ligua,CL, Great Lakes,AU, Fosterton,AU, Bassendean,AU, Trewilga,AU, Gorge Rock,AU, Sacanta,AR, Tortugas,AR, Wang Wauk,AU, Villa Krause,AR, Villa Dolores,AR, Upper Swan,AU, Parkerville,AU, Bunnabunoo,AU, Departamento de San Martín,AR, Las Delicias,AR, Piedras Coloradas,UY, Wuuluman,AU, Quebracho,UY",61.02,79,20,10.135
-31.493581636363636,"Horton,AU, Argents Hill,AU, Zastron,ZA, Dungowan,AU, Los Sauces,AR, Bugaldie,AU, Piallamore,AU, Rio Ceballos,AR, Hilario,AR, Loomberah,AU, Cosquin,AR, Serrezuela,AR, Yarrowitch,AU, Merredin,AU, El Pueblito,AR, Goomalling,AU, Coffs Harbour,AU, Constitucion,UY, Stoneville,AU, Jeogla,AU",62.325,63,0,9.36
-30.13211394949495,"Tucabia,AU, Triunfo,BR, Capao da Canoa,BR, Parobe,BR, Bellair,ZA, Santa Clara do Sul,BR, Libertad,AR, Muden,ZA, Seelands,AU, Taquara,BR, State of South Australia,AU, Nova Petropolis,BR, The Village,ZA, Pelham,ZA, Charqueadas,BR, Yarraford,AU, Hebel,AU, Mafeteng District,LS, eSikhawini,ZA, Winston Park,ZA",64.4,74,0,5.95
-28.770646262626265,"Florentino Ameghino,AR, Churchill,AU, Ernestina,BR, Santa Lucía,AR, Herlitzka,AR, Eastern Heights,AU, Tubarao,BR, Northampton,AU, Carianos,BR, Kunghur,AU, Beechmont,AU, Kingsthorpe,AU, Bom Jardim da Serra,BR, Fordsdale,AU, Leyburn,AU, Millbong,AU, Erval Seco,BR, Sananduva,BR, Bapaume,AU, Meringandan,AU",66.2,75,32,6.055
-27.409178575757576,"Pirapo,PY, Trichardt,ZA, Kingdom of Swaziland,SZ, Deagon,AU, Mapleton,AU, Kempton Park,ZA, Eden Glen,ZA, Puerto Piray,AR, Nambour,AU, Burpengary,AU, Corupa,BR, Pampa de los Guanacos,AR, Blackbutt,AU, West End,ZA, Anchieta,BR, D’Aguilar,AU, Dulacca,AU, Vaalpark,ZA, Porto Uniao,BR, Fram,PY",59.445,68,22,5.82
-26.04771088888889,"Mundubbera,AU, Bronkhorstspruit,ZA, Meekatharra,AU, El Galpon,AR, Laguna Naick-Neck,AR, San Ramón,AR, Taltal,CL, Boschrand,ZA, General Alvarado,AR, Rosario de la Frontera,AR, Iguape,BR, Colonia Mauricio Jose Troche,PY, Sao Mateus do Sul,BR, Benfica,MZ, Paranagua,BR, Cerrillos,AR, Cidade de Maputo,MZ, Macia,MZ, Tsiombe,MG, Woodgate,AU",64.4,64,0,5.275
-24.686243202020204,"Las Palomas,PY, Mokopane,ZA, Jussara,BR, Sítio João D. de Oliveira,BR, Guararema,BR, Rockhampton,AU, Ingenio La Esperanza,AR, Bororen,AU, Ofcolaco,ZA, Mochudi,BW, Departamento de San Pedro,AR, Embu,BR, Maimara,AR, Guapiara,BR, Cajamar,BR, Baralaba,AU, La Mendieta,AR, Phalaborwa,ZA, Perico,AR, Iandrinópolis,BR",64.26,70,0,5.82
-23.324775515151515,"Socorro,BR, Cacapava,BR, Canas,BR, Chamnanga,ZW, Naïa,NC, Dourado,BR, Karenga,NC, Cervinho,BR, Garca,BR, Lencois Paulista,BR, Manduri,BR, Centenario do Sul,BR, Itapui,BR, Ocauçu,BR, Ratholo,BW, Natércia,BR, Valinhos,BR, Santa Maria da Serra,BR, Sítio Santa Joana,BR, Ibipora,BR",65.475,59,0,8.8
-21.96330782828283,"Leopoldina,BR, Ipiguá,BR, Fianarantsoa,MG, Fuerte Olimpo,PY, Tarija,BO, Campestre,BR, Bouloupari,NC, Tonota,BW, Matias Barbosa,BR, Santo Expedito,BR, Poindimie,NC, Vista Alegre do Alto,BR, Farino,NC, Cajobi,BR, Guidoval,BR, Ikalamavony,MG, Petit Bazar,RE, Torrens Creek,AU, Presidente Epitacio,BR, Mirandopolis,BR",62.8,66,0,3.535
-20.601840141414144,"Kimiangatau Village,CK, Yamparáez,BO, Pica,CL, Leandro Ferreira,BR, Sao Joaquim da Barra,BR, Bulawayo Province,ZW, Joao Monlevade,BR, Strathdickie,AU, Vargem Alegre,BR, Saint Hubert,MU, Divinopolis,BR, Ambositra,MG, Estrela dOeste,BR, Prata,BR, Gros Cailloux,MU, La Flora,MU, L’Escalier,MU, Luz,BR, Lajinha,BR, Cap Malheureux,MU",68.19999999999999,73,4,6.625
-19.240372454545458,"Headlands,ZW, Moramanga,MG, Huayllas,BO, Canápolis,BR, Georgetown,AU, Tomina,BO, Vava`u,TO, Pedrinópolis,BR, Rusape,ZW, Nova Vicosa,BR, Guanhaes,BR, Alofi,NU, Epworth,ZW, Sobrália,BR, Corumbaíba,BR, Manjakandriana,MG, Presto,BO, Halls Creek,AU, Cassowary Coast,AU, Midlands Province,ZW",61.47,75,0,5.5600000000000005
-17.878904767676772,"Montes Claros,BR, Aragoiânia,BR, Cocachacra,PE, Choma,ZM, Parauna,BR, Hockley,AU, Ohangwena,NA, Punta de Bombon,PE, Mashonaland West Province,ZW, Aricanduva,BR, Namaka,FJ, Topaz,AU, Escondido,BR, Itanhem,BR, Afaahiti,PF, Amorinópolis,BR, Colomi,BO, Comunidad La Mayca,BO, Leme do Prado,BR, Fenoarivo Atsinanana,MG",65.655,62,8,7.49
-16.51743708080808,"Planaltina,BR, Luíee,MZ, Bloomfield,AU, Guiratinga,BR, Mapiri,BO, Wonga,AU, Huatajata,BO, Zomba District,MW, Ascension, and Tristan da Cunha Saint Helena,SH, Distrito Federal,BR, Araguaiana,BR, Drivaï,VU, Pau Brasil,BR, Borroloola,AU, Chikwawa,MW, Vizcachane,PE, Abadiania,BR, Navonda,VU, Namibe Province,AO, Lontra,BR",66.82499999999999,62,0,5.885
-15.155969393939394,"Nunoa,PE, Vallejos,BO, Western District,AS, Pontal de São João da Barra,BR, Chadiza,ZM, Faleasao,AS, Leone,AS, Leulumoega,WS, Antsohihy,MG, Palmas de Monte Alto,BR, Apolo,BO, Chignayhua,PE, Tanhacu,BR, Tinta,PE, Coracora,PE, Nova Olimpia,BR, Antalaha,MG, Sigavé,WF, Afenga,WS, Kalabo,ZM",69.07499999999999,83,20,6.385
-13.794501707070708,"Província de Cabo Delgado,MZ, Paramirim,BR, Calca,PE, Huanta,PE, Salvador,BR, Pé do Morro,BR, Darwin,AU, Torba Province,VU, Nazare,BR, Chincha Alta,PE, Passé,BR, Cook,AU, Anta,PE, Paratinga,BR, Macaubas,BR, Muniz Ferreira,BR, Tanquinho,BR, Docota,AO, Alvorada,BR, Mulaya,ZM",68.49000000000001,78,40,9.530000000000001
-12.433034020202022,"Liuli,TZ, Katoto,MW, Feira de Santana,BR, Betahitra,MG, Cardeal da Silva,BR, Barra,BR, Djoyezi,KM, Chironkamba,KM, Bellavista,PE, Huancayo,PE, Surquillo,PE, San Bartolo,PE, Sicaya,PE, Barranco,PE, Mundo Novo,BR, Mramani,KM, Inhambupe,BR, Seabra,BR, Jauja,PE, Ibipeba,BR",64.845,88,20,6.734999999999999
-11.071566333333337,"Barakabita,ID, Mahanje,TZ, Alta Floresta,BR, Muribeca,BR, Nggongi,ID, Lumpundu,CD, Quilipe,PE, Estado de Tocantins,BR, Walakeri,ID, Marechal Deodoro,BR, Wengaingo,ID, Taquari,BR, Porto Amboim,AO, Taulaga,AS, Limoeiro de Anadia,BR, Tucano,BR, Umanggudang,ID, Thornton,ZM, Chaupimarca,PE, Rumphi District,MW",73.33,71,10,5.225
-9.710098646464651,"Zepe,ID, Mauponggo,ID, Banjar Parekan,ID, Pagutan,ID, Vwawa,TZ, Waepau,ID, Waworada,ID, Majan,ID, Tuvalu,TV, Purwoharjo,ID, Kambu,ID, Lantebaru,ID, Dasangeria Selatan,ID, Wanagiri,ID, Semalang,ID, Sere,ID, Mangulewa,ID, Angkahgede,ID, Huaraz,PE, Tamanbumigora,ID",80.6,74,36,5.4399999999999995
-8.348630959595965,"Gambiran Wetan,ID, Nganjuk,ID, Tugu,ID, Jatiwangi,ID, Rancapeundey,ID, Tegallame,ID, Rancah,ID, Cimanglid,ID, Becirto,ID, Conde,BR, Garahan,ID, Sukorambi,ID, Ascension,SH, Mandalasari,ID, Pajaran,ID, Kedungpeluk,ID, Sumuran,ID, Krajan Gebangan,ID, Cipari,ID, Gambuhan Kidul,ID",77.625,76,32,4.9350000000000005
-6.987163272727273,"Ngimbang,ID, Margahayu,ID, Regeneracao,BR, Palemgede,ID, Pasatan,ID, Sambongrejo,ID, Cikuning,ID, Kaliori,ID, Sambong,ID, Pondokwaru,ID, Jakarta,ID, Pio IX,BR, Gemulung,ID, Citalahab,ID, Lae,PG, Bapoh,ID, Nagreg,ID, Tajur,ID, Manungtung,ID, Karangtengah,ID",83.97,66,0,5.45
-5.625695585858587,"Provinsi Lampung,ID, Itaiçaba,BR, Provinsi Sulawesi Selatan,ID, Kimbe,PG, Lagunas,PE, Timon,BR, Sechura,PE, Kotabumi,ID, Caninde,BR, Touros,BR, Palattae,ID, Victoria,SC, Kigunga,TZ, Povo Grande,AO, Jaguaruana,BR, Ville de Kinshasa,CD, Ipanguacu,BR, Aracoiaba,BR, Nova Russas,BR, Panjang,ID",78.55,64,20,6.51
-4.264227898989901,"Puerto Narino,CO, Région de la Lékoumou,CG, Igurubi,TZ, iProvense ya Gitega,BI, Kwa Jomvu,KE, Cempa Pasar,ID, Nkoaranga,TZ, iProvense ya Karuzi,BI, Getengan,ID, Langnga,ID, Mombasa,KE, Mbulu,TZ, iProvense ya Bururi,BI, Old Shinyanga,TZ, Babati,TZ, Totumbang,ID, Malunda,ID, Mwembe,TZ, Nzega,TZ, Tangratte,ID",68.805,81,12,5.11
-2.9027602121212155,"Provinsi Kalimantan Selatan,ID, Cururupu,BR, Nyamuswa,TZ, Capitao Poco,BR, Prainha,BR, Mwanza,TZ, Republic of Ecuador,EC, Curuai,BR, Urucara,BR, Provincia del Cañar,EC, Wonorejo,ID, Tome Acu,BR, Alenquer,BR, Muhato,RW, Provincia de Bolívar,EC, Cameta,BR, iProvense ya Kirundo,BI, Rulenge,TZ, Cuchucún,EC, Moju,BR",72.745,86,38,2.8200000000000003
-1.5412925252525298,"Kanungu,UG, Okondja,GA, Provincia de Cotopaxi,EC, Nazaré,BR, Ventanas,EC, Boluka,CD, Nairobi South,KE, Rambatan,ID, San Isidro,EC, Sawahlunto,ID, Gahondogo,RW, Belem,BR, Republic of the Congo,CG, Katerero,TZ, Beru,KI, Mbarara,UG, Provincia de Los Ríos,EC, Salimpaung,ID, Provincia de Napo,EC, Sungaisarik,ID",72.405,91,38,2.875
-0.1798248383838441,"Buwenge,UG, Merus,ID, Western Province,KE, Ntoroko,UG, Wakiso District,UG, Balabala,UG, Kabarole District,UG, Pontianak,ID, Contadero,CO, Luwero District,UG, Batikayafi,CD, Busia District,UG, Pimpi,ID, Ricaurte,CO, Guaitarilla,CO, Rambara,KE, Province de l’ Ogooué-Ivindo,GA, Bugis,ID, São Tomé,ST, Wobulenzi,UG",63.36,94,28,2.7649999999999997
1.1816428484848487,"La Tola,CO, La Plata,CO, Kelapa Sawit,MY, Basankusu,CD, Bikenibeu Village,KI, Saacow,SO, El Tambo,CO, Olaya Herrera,CO, Ouesso,CG, Koka,ID, El Tambo,CO, Soroti,UG, Bitica,GQ, Nadiket,UG, Suaza,CO, Cumbitara,CO, Palingi,UG, Marka,SO, Tabwakea Village,KI, Taman Khalidi Baru,MY",68.85,94,56,2.5949999999999998
2.5431105353535344,"Banting,MY, Villavieja,CO, Panguruan,ID, Timbiqui,CO, Republic of Maldives,MV, Planadas,CO, Garbahaarrey,SO, Makin Village,KI, Taman Labu Jaya,MY, Yaounde,CM, Mentekab,MY, Kampong Baharu Balakong,MY, Tarakan,ID, Kitgum District,UG, Dolores,CO, Labuhan Deli,ID, Lolodorf,CM, Telok Baharu,MY, Crucero de Pescador,CO, Nkan,CM",78.28,87,75,3.04
3.90457822222222,"Mega,ET, Maridi,SS, Gachancipa,CO, Bandar Seri Begawan,BN, Stoelmanseiland,SR, Palocabildo,CO, Tonga,CM, Vodiéko,CI, Pereira,CO, Guamo,CO, El Diamante,CO, Murillo,CO, El Aserradero,VE, Carnot,CF, Villahermosa,CO, Sumua-parú-mata,VE, Harper,LR, Potaro-Siparuni Region,GY, Calabar,NG, Imogwu-Agwa,NG",70.875,94,75,3.36
5.266045909090906,"Godo,ET, El Espino,CO, Quipama,CO, Quinchia,CO, Kagay,PH, Adamaoua Region,CM, Socorro,CO, Marienburg,SR, Babanki,CM, Republic of Liberia,LR, Soubre,CI, San Isidro,VE, San Pedro,CO, Lun Pequeno,PH, Salgar,CO, Awka,NG, Kilómetro Ochenta y Ocho,VE, Liberty,PH, Ambalangoda,LK, Guiberoua,CI",67.88499999999999,93,75,2.76
6.627513595959591,"Manang,TH, Palmira,VE, Igbo Ora,NG, Tongole,SL, Apomu,NG, Gaalkacyo,SO, Autonomous Region in Muslim Mindanao,PH, Yan Ta Khao,TH, Wichit,TH, Ex-Colonia Móvil del Dorado,VE, Dipolo,PH, Cuambog,PH, Lumbayan,PH, Caucasia,CO, Ratsada,TH, Kenema,SL, Malaga,CO, Rancho de Tejas,VE, San Rafael del Pinal,VE, Nabunturan,PH",78.235,84,40,3.37
7.988981282828277,"Genet,ET, Ciudad Bolivar,VE, Kauswagan,PH, Thai Mueang,TH, Bang Khan,TH, Tỉnh Bạc Liêu,VN, Guamal,CO, San Miguel,PH, Kuzhithurai,IN, Bella Vista,PA, Mayo Belwa,NG, Wenji,ET, El Pantano,VE, Lingion,PH, Botijones,VE, Chian Yai,TH, Yengema,SL, Provincia de Bocas del Toro,PA, Surandai,IN, Kuna Yala,PA",77.11,95,40,3.48
9.35044896969697,"Vom,NG, Kachia,NG, Turmero,VE, Manalad,PH, Heipang,NG, Municipio José Tadeo Monagas,VE, Araure,VE, Hipasngo,PH, Upper Nile State,SS, Barrio Hispano,CR, El Sombrero,VE, Toluviejo,CO, Bodinayakkanur,IN, Himamaylan,PH, Piparo,TT, Tortuga,TT, Fais Municipality,FM, Municipio Tinaco,VE, Rach Gia,VN, Miraflores,VE",72.99000000000001,94,77,3.71
10.711916656565649,"Punto Fijo,VE, Aganan,PH, Pili,PH, Culaba,PH, Ogtongon,PH, Mettuppalaiyam,IN, Balasan,PH, Province of Aklan,PH, Ormoc City,PH, Culasi,PH, Namakkal,IN, Province of Iloilo,PH, Placer,PH, Dapdap,PH, Manoc-Manoc,PH, Kattuputtur,IN, Tindog,PH, Préfecture de Télimélé,GN, Caluya,PH, Jarigue,PH",82.125,91,22,6.23
12.073384343434341,"Demba Kunda,GM, Gabao,PH, El Ayote,NI, Matiguas,NI, Province of Masbate,PH, Amapala,HN, Kodlipet,IN, La Jicaral,NI, Tiptur,IN, Saint Andrew,GD, Catubig,PH, Iriga City,PH, Evangelista,PH, Jikamshi,NG, Province du Sanguié,BF, Allen,PH, Ramapuram,IN, Sattahip,TH, Brikama,GM, Nouna,BF",80.55,91,42,6.45
13.43485203030302,"Malabag,PH, Salvacion,PH, Région de Dakar,SN, Kaliliog,PH, Palestina,PH, Nguigmi,NE, Taizz,YE, Bhatkal,IN, Lucerna,HN, Atiquizaya,SV, Labo,PH, Région du Lac,TD, Joal-Fadiout,SN, Nong Don,TH, Villa de San Francisco,HN, San Jose del Golfo,GT, Pila,PH, San Jose,PH, Chapeltique,SV, Frontera Hidalgo,MX",78.685,91,75,7.574999999999999
14.796319717171713,"San Jeronimo,HN, Sacapulas,GT, Bonito Oriental,HN, Lat Yao,TH, Santa Lucia La Reforma,GT, Tarlac,PH, Pang Sila Thong,TH, Lobong,PH, Santa Rita,HN, Urbiztondo,PH, Arenal,HN, Ban Khangkeung,LA, El Balsamo,HN, Tejutla,GT, Baracoa,HN, Pueblo Nuevo,HN, Tarim,YE, Nancamarinan,PH, Capulaan,PH, Tan Sum,TH",78.505,91,75,2.82
16.157787404040405,"Cervantes,PH, Sint Eustatius,BQ, Huai Phueng,TH, Santa Lucia,PH, Khok Si Suphan,TH, Palomares,MX, Soldier Ghaut,MS, Mudhol,IN, Lagawe,PH, Guanaja,HN, Mirialguda,IN, Municipality of Alicia,PH, Al Khirab,YE, Changwat Khon Kaen,TH, Belize City,BZ, Paldit,PH, Gerald's,MS, Soyatitán,MX, Konnur,IN, Socialist Republic of Vietnam,VN",78.795,85,38,3.6550000000000002
17.519255090909084,"Long,TH, Tianya,CN, Municipio de Juncos,PR, Xochitepec,MX, Villa Jaragua,DO, Coqui,PR, Longguang,CN, Mali and Munjeri,IN, Currimao,PH, Parish of Saint Elizabeth,JM, Phon Phisai,TH, Cutzamala de Pinzon,MX, Dharur,IN, Toa Alta,PR, Basavakalyan,IN, Ixcateopan de Cuauhtémoc,MX, Ban Wat Pa,TH, Ban Doen,TH, El Coacoyul,MX, Siddipet,IN",78.8,83,40,3.915
18.880722777777777,"Totolapan,MX, Manor,IN, Purushottampur,IN, Myoma,MM, Coatepec Harinas,MX, Udaigiri,IN, Coatepec,MX, Santiago Teyahualco,MX, Basmat,IN, Puopelu,US, Terrenate,MX, Magdalena Mixhuca,MX, Tonila,MX, San Pedro Cholula,MX, Acambay,MX, Tomatlan,MX, Mexico City,MX, Temamatla,MX, Sabaneta,DO, Los Reyes,MX",65.22999999999999,87,57,4.655
20.242190464646455,"San Miguel de Cozumel,MX, Amascala,MX, Jalalpur,IN, Rio Guayabal de Yateras,CU, Chandvad,IN, Kanasin,MX, Union Territory of Damān and Diu,IN, Las Lomas,MX, Huazalingo,MX, Angul,IN, Sindi,IN, Dharangaon,IN, Gibara,CU, Sambalpur,IN, Phulabani,IN, Deoli,IN, Alfajayuca,MX, Meiktila,MM, Matthew Town,BS, Vistahermosa de Negrete,MX",75.58,90,81,6.945
21.60365815151515,"Punasa,IN, Lawai,US, Kalikapur,IN, Zhongshan,CN, Guanajay,CU, Kuiyong,CN, Cumanayagua,CU, Ekyigon,MM, Arista,MX, Huangjiang,CN, Zhongdacuo,TW, Balarampur,IN, Calimete,CU, Ciudad Mante,MX, Shiqiao,CN, Kamarhati,IN, Sonari Town,IN, El Higo,MX, Primero de Enero,CU, Dhandhuka,IN",78.8,88,46,5.26
22.96512583838384,"Balarampur,IN, Alot,IN, Agar,IN, Basoda,IN, Ranir Bazar,IN, Ad Dilam,SA, Xiancheng,CN, Zhongshanzhuang,TW, Sarubera,IN, Hazaribag,IN, Mugma,IN, Thenzawl,IN, Xintang,CN, Wenlan,CN, Kadi,IN, Mengmeng,CN, Bhuj,IN, Sarangpur,IN, Durango,MX, Jiulong,CN",77.13,91,75,5.17
24.32659352525252,"Dongchuan,CN, Ormara,PK, Fucha,CN, Colonia Valle,MX, Takipur,BD, Chiguang,CN, Andros Town,BS, Baran,IN, Raghunathpur,IN, Shinas,OM, Aizi,CN, Koelwar,IN, Naraini,IN, Cabos,MX, Shaxiaba,CN, Badiraguato,MX, Madhogarh,IN, Compuertas,MX, Qidian,CN, Dhulian,IN",77.31,83,66,6.93
25.688061212121212,"Merta,IN, Taoling,CN, Rancho La Pachona,MX, Bihariganj,IN, North Port,US, Miami,US, Laureles,US, San Francisco del Oro,MX, Miami Gardens,US, Naples Manor,US, Three Oaks,US, Sita Road,PK, Betty Acres Colonia,US, Samastipur,IN, Shaxi,CN, Gauripur,IN, Unnao,IN, Scissors,US, Rangpur Division,BD, Guanqian,CN",80.14,83,52,5.555
27.04952889898989,"Garachico,ES, Yanmen,CN, Del Mar,US, (Pokharithok Bajar),NP, Dongping,CN, Huangxi,CN, Haines City,US, Luzhou,CN, Shishan,CN, Gezan,CN, Hetan,CN, Tor,EG, Zunyi,CN, Bhadasar,IN, Trinity,US, Yezhi,CN, Binjiang,CN, Treasure Island,US, Helumbu,NP, Ouli,CN",74.565,76,64,5.335
28.410996585858584,"Foshan,CN, Chiefland,US, Kotdwara,IN, Jiang’aokou,CN, Al Jaghbub,LY, Ziyang,CN, Tosca de Ana María,ES, Bailu,CN, Yaojia,CN, Bellaire,US, Haozigang,CN, Tianhong,CN, Wangjiaping,CN, Zhonghekou,CN, Huangcun,CN, Kongkeshu,CN, Gaotang,CN, El Paso,ES, Meiling,CN, Kālkāji Devi,IN",77.49,71,0,5.275
29.772464272727262,"Xitianmu,CN, Diamondhead,US, Muḩāfaz̧at al Qalyūbīyah,EG, Sanlifan,CN, Muḩāfaz̧at Shamāl Sīnā’,EG, Sansheng,CN, Merrydale,US, Zongluzui,CN, Longquan,CN, Jishan,CN, Al Alamayn,EG, Zhifang,CN, Xinwan,CN, Sirhind,IN, Fusilier Mobile Home Estates,US, Wakulla County,US, Anchang,CN, Luxiang,CN, Zhangwu,CN, Ray City,US",75.2,88,3,4.655
31.133931959595955,"Pagnag,CN, Dasua,IN, Dongyu,CN, Mudu,CN, Fuwah,EG, Sheikhupura,PK, Nanyang,CN, Rafah,PS, Qingyu,CN, Jiangduo,CN, Jonesboro,US, Xinqiao,CN, Talmest,MA, Robinson,US, Bhakkar,PK, Harry Manzo,MX, Puji,CN, Even Yehuda,IL, Wilāyat-e Zābul,AF, Budrus,PS",76.1,69,32,5.824999999999999
32.49539964646465,"Paosha,CN, San Jacinto,US, Shelby,US, Henry County,US, Jaurian,IN, At Taybah,PS, Byron,US, Grayson Valley,US, Punch,IN, Grenada,US, Wangying,CN, Shuizhai,CN, Maljamar,US, Big Sandy,US, Malou,CN, Sikeshu,CN, Rolling Hills Estates,US, Dorcheh Piaz,IR, Miyada,JP, Hasbaiya,LB",77.755,69,1,4.945
